,trajectory_id,trace_number,longitude (degree_east),latitude (degree_north),date,time_UTC,surface_altitude (m),land_ice_thickness (m),bedrock_altitude (m),two_way_travel_time (m),aircraft_altitude (m),along_track_distance (m),easting,northing,project,geometry
419,147245,,-119.7408,-77.6947,,,1781.0,2617.0,-836.0,,,,-1165191.5851173566,-665713.6666806833,,POINT (-1165191.5851173566 -665713.6666806833)
420,1465396,,-120.0083,-77.64667,,,1817.0,2339.0,-522.0,,,,-1166640.4909119639,-673785.5566681301,,POINT (-1166640.4909119639 -673785.5566681301)
421,1491132,,-119.6424,-77.688,,,1777.0,2335.0,-558.0,,,,-1166972.9279449494,-664075.6433735354,,POINT (-1166972.9279449494 -664075.6433735354)
422,1491133,,-119.6991,-77.6913,,,1778.0,2508.0,-730.0,,,,-1166000.2560243309,-665050.5299142348,,POINT (-1166000.2560243309 -665050.5299142348)
423,18040,,-120.0,-77.69666,,,1800.0,2752.0,-952.0,,,,-1161981.569978449,-670870.3722204411,,POINT (-1161981.569978449 -670870.3722204411)
424,18039,,-120.0,-77.74667,,,1802.0,2813.0,-1011.0,,,,-1157223.5820874055,-668123.3466307463,,POINT (-1157223.5820874055 -668123.3466307463)
425,1465395,,-120.0,-77.79666999999999,,,1795.0,2667.0,-872.0,,,,-1152466.9736896092,-665377.1174918489,,POINT (-1152466.9736896092 -665377.1174918489)
426,147246,,-120.0862,-77.8317,,,1776.0,2088.0,-312.0,,,,-1148135.299699422,-665181.3476624327,,POINT (-1148135.299699422 -665181.3476624327)
427,1491134,,-120.0862,-77.8333,,,1775.0,2000.0,-225.0,,,,-1147983.2371895046,-665093.249033898,,POINT (-1147983.2371895046 -665093.249033898)
428,147247,,-120.0795,-77.8367,,,1772.0,1942.0,-170.0,,,,-1147737.8501098945,-664771.8317402421,,POINT (-1147737.8501098945 -664771.8317402421)
429,147248,,-120.0728,-77.84170999999999,,,1771.0,1910.0,-139.0,,,,-1147339.3741926681,-664361.8699437417,,POINT (-1147339.3741926681 -664361.8699437417)
430,147249,,-120.0728,-77.84170999999999,,,1767.0,1905.0,-138.0,,,,-1147339.3741926681,-664361.8699437417,,POINT (-1147339.3741926681 -664361.8699437417)
